2024-10-17 01:17:40 startup packages configure
2024-10-17 01:17:40 configure libkeyutils1:amd64 1.6.3-2 <none>
2024-10-17 01:17:40 status unpacked libkeyutils1:amd64 1.6.3-2
2024-10-17 01:17:40 status half-configured libkeyutils1:amd64 1.6.3-2
2024-10-17 01:17:40 status installed libkeyutils1:amd64 1.6.3-2
2024-10-17 01:17:40 configure libpsl5:amd64 0.21.2-1 <none>
2024-10-17 01:17:40 status unpacked libpsl5:amd64 0.21.2-1
2024-10-17 01:17:40 status half-configured libpsl5:amd64 0.21.2-1
2024-10-17 01:17:40 status installed libpsl5:amd64 0.21.2-1
2024-10-17 01:17:40 configure libmagic-mgc:amd64 1:5.44-3 <none>
2024-10-17 01:17:40 status unpacked libmagic-mgc:amd64 1:5.44-3
2024-10-17 01:17:40 status half-configured libmagic-mgc:amd64 1:5.44-3
2024-10-17 01:17:40 status installed libmagic-mgc:amd64 1:5.44-3
2024-10-17 01:17:40 configure libtirpc-common:all 1.3.3+ds-1 <none>
2024-10-17 01:17:40 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-10-17 01:17:40 status half-configured libtirpc-common:all 1.3.3+ds-1
2024-10-17 01:17:40 status installed libtirpc-common:all 1.3.3+ds-1
2024-10-17 01:17:40 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2024-10-17 01:17:40 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-10-17 01:17:40 status half-configured libbrotli1:amd64 1.0.9-2+b6
2024-10-17 01:17:40 status installed libbrotli1:amd64 1.0.9-2+b6
2024-10-17 01:17:40 configure binutils-common:amd64 2.40-2 <none>
2024-10-17 01:17:40 status unpacked binutils-common:amd64 2.40-2
2024-10-17 01:17:40 status half-configured binutils-common:amd64 2.40-2
2024-10-17 01:17:40 status installed binutils-common:amd64 2.40-2
2024-10-17 01:17:40 configure libssl3:amd64 3.0.14-1~deb12u2 <none>
2024-10-17 01:17:40 status unpacked libssl3:amd64 3.0.14-1~deb12u2
2024-10-17 01:17:40 status half-configured libssl3:amd64 3.0.14-1~deb12u2
2024-10-17 01:17:40 status installed libssl3:amd64 3.0.14-1~deb12u2
2024-10-17 01:17:40 configure libnghttp2-14:amd64 1.52.0-1+deb12u1 <none>
2024-10-17 01:17:40 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-10-17 01:17:40 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-10-17 01:17:40 status installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-10-17 01:17:40 configure libmagic1:amd64 1:5.44-3 <none>
2024-10-17 01:17:40 status unpacked libmagic1:amd64 1:5.44-3
2024-10-17 01:17:40 status half-configured libmagic1:amd64 1:5.44-3
2024-10-17 01:17:40 status installed libmagic1:amd64 1:5.44-3
2024-10-17 01:17:40 configure linux-libc-dev:amd64 6.1.112-1 <none>
2024-10-17 01:17:40 status unpacked linux-libc-dev:amd64 6.1.112-1
2024-10-17 01:17:40 status half-configured linux-libc-dev:amd64 6.1.112-1
